epoch,acc,loss,root_mean_squared_error,val_acc,val_loss,val_root_mean_squared_error
0,0.25344885594912203,1.6059706668353178,0.36238341982079064,0.31493943474414693,1.5152132222341175,0.3541904871990029
1,0.3230148047650005,1.501663994660769,0.350460191073039,0.3711305517768475,1.427404295547814,0.3439878895577961
2,0.372139973202432,1.42164298631301,0.3407387609517109,0.3997308210761839,1.3528073889731078,0.33347705752660256
3,0.40612382242207895,1.3557930759594226,0.33172258429861007,0.41419919254320947,1.3411766216860805,0.32836058856179867
4,0.4242934050341795,1.3158824836902951,0.32649403573847396,0.44515477780698925,1.2862005910834906,0.3236476383090501
5,0.4464165545488591,1.2689194254085803,0.3197916410011045,0.44952893674293404,1.2620621934071845,0.3215037088936463
6,0.46567967722585996,1.2336129116979935,0.3144003228656697,0.43270524887024636,1.297146000900628,0.32007663310937895
7,0.4909993270926007,1.1963459593450718,0.30832582676073744,0.4205921938891045,1.3138966820281737,0.328004974134838
8,0.4921769851149332,1.1713858582931764,0.3048210405164259,0.47913862702663623,1.2083457294415336,0.3039664948612331
9,0.5050471061652634,1.1461731038215504,0.3005500073227555,0.4724091519658049,1.2190367235309503,0.30594350840811135
